ID,Name,Brand,Mount,Min. Focal Length (mm),Max. Focal Length (mm),Min. F Value,Max. F Value,Min. Focus Distance (mm),Keywords
65A6D21D-1570-4A81-B18D-CEFCF4AC1F3C,Summilux-M f1.4/28mm Asph.,Leica,Leica M,28,28,1.4,16,700,
C23B91C0-EA85-41DE-B63B-F364B2C52D17,Elmarit-M f2.8/28mm Asph.,Leica,Leica M,28.4,28.4,2.8,22,700,
5C1600FF-0FC1-40E3-8FB9-EDC0843B1DEE,Summarit-M f2.4/35mm Asph.,Leica,Leica M,35,35,2.4,16,800,
6B09EA56-8461-4EFA-8B99-10AED26C2FE7,Summarit-M f2.5/35mm,Leica,Leica M,35.4,35.4,2.5,16,800,
4646D30B-AF27-4709-AACB-F729033E51B8,Summilux-M f1.4/35mm Asph.,Leica,Leica M,35.6,35.6,1.4,16,700,
7B4330CE-D3B5-4513-96AC-F07DFFD784B4,APO-Summicron-M f2/50mm Asph.,Leica,Leica M,50,50,2,16,700,
2A06982E-9715-4EA3-A275-782F690C4EFE,Summicron-M f2/50mm,Leica,Leica M,50,50,2,16,700,
1BA40AD7-6D42-4ABF-B605-916C2C794965,Summicron-M f2/50mm Asph.,Leica,Leica M,50,50,2,16,700,
BE4BBB35-23B9-44F8-AE34-84026EA9E862,Summarit-M f2.4/50mm,Leica,Leica M,50.1,50.1,2.4,16,800,
CB5D88D0-44B0-4A9F-B0F2-503EA2E68B63,Summarit-M f2.5/50mm,Leica,Leica M,50.1,50.1,2.5,16,700,
41F22D44-FFC4-4D26-A5FE-E632CEDD4133,Summilux-M f1.4/50mm Asph.,Leica,Leica M,51.6,51.6,1.4,16,700,
C903E58C-A1FD-4A36-AAD1-5D21308AC216,Noctilux-M f0.95/50mm Asph.,Leica,Leica M,52.3,52.3,0.95,16,1000,
8BD73D27-6F6D-4C8D-A97C-6175EF8B841E,Summarit-M f2.4/75mm,Leica,Leica M,75,75,2.4,16,700,
18BC9644-3329-4A20-9745-2C33897B69E2,Summarit-M f2.5/75mm,Leica,Leica M,75,75,2.5,16,900,
A24E1F0A-3C97-48E4-B258-DEBFBA9BE68A,Elmarit-M 2.8/90mm,Leica,Leica M,90,90,2.8,22,1000,
0F0FEEA5-FF77-4B77-98D9-90CD9CF6808E,Macro-Elmar-M f4/90mm Asph.,Leica,Leica M,90,90,4,22,800,
9352DDBA-5ECF-4C88-A3E4-675AA19B3092,Summarit-M f2.4/90mm,Leica,Leica M,90,90,2.5,16,900,
65ACDEA1-6EE5-4511-8E00-95F3D3842FF3,Thambar-M f2.2/90mm,Leica,Leica M,90,90,2.2,25,1000,
90144658-2A3E-49A5-888B-F153E4EBF76C,Summarit-M f2.5/90mm,Leica,Leica M,91,91,2.5,16,1000,
ED2C632B-9919-482F-BEE0-1E783D5E0836,APO-Telyt-M f3.4/135mm,Leica,Leica M,136,136,3.4,22,1500,
9EF3970B-A0EE-4A8C-AA78-ADE817187F76,Super-Elmar-S f3.5/24mm Asph.,Leica,Leica S,24,24,3.5,22,400,
CC753638-D807-45C7-8052-CD6B324A9987,Elmarit-S f2.8/30mm Asph.,Leica,Leica S,30,30,2.8,22,500,
BF24BA96-0804-43FE-9679-476CFDB9EFA6,Vario-Elmar-S f3.5-5.6/30-90mm Asph.,Leica,Leica S,30,90,3.5,32,650,
94FE51AC-C053-4C92-8A20-4A965EFCA78E,Summarit-S f2.5/35mm,Leica,Leica S,35,35,2.5,22,550,
775AACD5-784B-4F04-AACC-493169CF7515,Elmarit-S f2.8/45mm Asph.,Leica,Leica S,45,45,2.8,22,600,
